Class,Confidence,Xmin,Ymin,Xmax,Ymax
3.0,0.8205818,383.57922,149.07103,409.26044,174.07732
3.0,0.81979275,648.1153,244.68658,680.4277,257.63617
3.0,0.817987,673.9766,166.75777,706.98126,180.49342
3.0,0.81481624,306.06183,167.3877,335.82553,187.62411
3.0,0.8040816,379.21692,315.08505,411.04797,327.08945
3.0,0.80303544,34.422775,126.01291,65.1704,141.41644
3.0,0.797028,362.43457,78.44317,386.16638,104.21878
3.0,0.7922447,583.44635,168.37534,614.8422,182.59795
3.0,0.78958905,609.37415,122.169365,640.5456,135.51152
3.0,0.7860665,76.79008,193.23164,108.67738,208.35492
3.0,0.7854094,653.1826,122.6187,684.4897,136.20305
3.0,0.77635807,721.7509,235.63658,755.0281,248.84277
3.0,0.77340883,310.76328,197.12985,338.46582,214.02515
3.0,0.7689453,174.30037,174.41692,201.79501,186.84285
3.0,0.75596404,141.6825,283.32327,171.74486,296.56827
3.0,0.7344276,64.04855,258.41574,95.698204,273.0249
3.0,0.72610205,643.4912,189.19885,679.4284,202.93814
3.0,0.7246537,317.21353,135.77972,343.4168,156.99464
3.0,0.72005713,512.3799,241.17268,542.6323,254.3209
3.0,0.7187459,338.778,240.34842,365.37387,251.96492
3.0,0.71786237,526.8793,386.616,547.73663,414.23828
3.0,0.7130747,640.6718,145.43097,671.3187,158.26718
3.0,0.70819116,222.10912,215.8937,249.02863,228.29138
3.0,0.7063795,431.91382,382.1728,445.5931,410.51996
3.0,0.70386267,85.52761,332.95438,114.77231,347.1742
3.0,0.70362246,46.901974,302.79068,77.87485,316.3544
3.0,0.7034813,451.7737,16.580915,470.37378,52.767975
3.0,0.6985965,455.2646,394.92664,467.88144,427.14258
3.0,0.6891871,739.76544,98.42374,767.7646,112.64477
3.0,0.67630017,630.77515,167.85056,664.8515,180.39825
3.0,0.6744241,567.5242,124.66762,596.51135,138.18951
3.0,0.6609304,432.4262,5.5194716,447.9559,33.352913
3.0,0.64319885,385.33044,382.78354,399.4791,416.99863
3.0,0.63458544,586.6436,191.19159,613.2319,204.53625
3.0,0.62647676,120.615875,59.45485,151.73936,78.44868
3.0,0.62514776,680.1705,98.549034,718.6174,114.884346
3.0,0.60886306,106.46893,102.27055,133.24358,119.17824
4.0,0.5906184,189.79007,349.40268,221.06184,367.84476
3.0,0.5897149,622.49255,98.74424,656.561,115.150215
3.0,0.5832788,410.00024,388.5072,421.93082,417.4181
3.0,0.5761369,717.3329,122.66924,757.55646,138.30971
3.0,0.5615739,546.25854,352.23093,573.7251,382.30298
3.0,0.5414945,3.815751,72.57912,33.31846,85.84275
3.0,0.4918959,587.5381,144.61626,624.4965,160.4973
3.0,0.48965508,685.367,142.37729,708.2804,160.92326
3.0,0.48138836,683.964,305.8563,720.87494,321.96884
3.0,0.48107743,569.17413,102.75337,599.5257,116.10315
4.0,0.46940526,716.5851,123.21943,757.2616,137.60724
3.0,0.4590352,348.39624,0.0,361.02158,17.209785
5.0,0.45677227,526.96204,303.34982,595.75165,328.6075
3.0,0.44639042,218.04688,262.30646,249.66022,276.426
3.0,0.42516133,189.4118,347.99466,220.88661,368.10446
3.0,0.41287616,468.35867,288.05875,498.08752,305.03915
4.0,0.3956752,682.4981,305.22803,720.80334,322.19693
3.0,0.3716419,684.99316,142.19339,718.2106,160.81207
3.0,0.36995387,280.78357,307.50516,311.259,321.54395
4.0,0.349373,679.9788,99.079285,718.57086,114.017876
4.0,0.32661805,568.4174,102.51706,599.1096,116.80979
